company_id,risk_number,materiality_score,emphasis_score,ddi_score
lohiacorp,1,60.0,80.0,-20.0
lohiacorp,2,100.0,49.43,50.57
lohiacorp,3,30.0,78.85,-48.85
lohiacorp,4,55.0,78.28,-23.28
lohiacorp,5,45.0,77.7,-32.7
lohiacorp,6,75.0,47.13,27.87
lohiacorp,7,0.0,85.89,-85.89
lohiacorp,8,50.0,49.78,0.22
lohiacorp,9,100.0,75.4,24.6
lohiacorp,10,30.0,74.83,-44.83
lohiacorp,11,95.0,74.25,20.75
lohiacorp,12,45.0,43.68,1.32
lohiacorp,13,30.0,75.37,-45.37
lohiacorp,14,0.0,46.8,-46.8
lohiacorp,15,95.0,71.95,23.05
lohiacorp,16,0.0,41.38,-41.38
lohiacorp,17,15.0,40.8,-25.8
lohiacorp,18,100.0,70.23,29.77
lohiacorp,19,95.0,39.66,55.34
lohiacorp,20,65.0,39.08,25.92
lohiacorp,21,80.0,70.04,9.96
lohiacorp,22,75.0,67.93,7.07
lohiacorp,23,75.0,71.69,3.31
lohiacorp,24,0.0,38.78,-38.78
lohiacorp,25,95.0,66.21,28.79
lohiacorp,26,0.0,75.5,-75.5
lohiacorp,27,50.0,65.99,-15.99
lohiacorp,28,30.0,66.68,-36.68
lohiacorp,29,0.0,63.91,-63.91
lohiacorp,30,15.0,63.33,-48.33
lohiacorp,31,85.0,62.76,22.24
lohiacorp,32,15.0,68.65,-53.65
lohiacorp,33,15.0,61.61,-46.61
lohiacorp,34,0.0,61.03,-61.03
lohiacorp,35,45.0,60.46,-15.46
lohiacorp,36,50.0,37.42,12.58
lohiacorp,37,30.0,59.31,-29.31
lohiacorp,38,90.0,65.47,24.53
lohiacorp,39,75.0,58.16,16.84
lohiacorp,40,100.0,57.59,42.41
lohiacorp,41,90.0,57.01,32.99
lohiacorp,42,75.0,56.44,18.56
lohiacorp,43,30.0,32.0,-2.0
lohiacorp,44,30.0,66.69,-36.69
lohiacorp,45,0.0,60.91,-60.91
lohiacorp,46,0.0,54.14,-54.14
lohiacorp,47,65.0,61.63,3.37
lohiacorp,48,0.0,54.99,-54.99
lohiacorp,49,45.0,63.01,-18.01
lohiacorp,50,15.0,34.51,-19.51
lohiacorp,51,55.0,51.26,3.74
lohiacorp,52,15.0,59.62,-44.62
lohiacorp,53,30.0,63.38,-33.38
lohiacorp,54,100.0,52.27,47.73
lohiacorp,55,0.0,33.3,-33.3
lohiacorp,56,0.0,53.86,-53.86
lohiacorp,57,95.0,17.82,77.18
lohiacorp,58,30.0,47.24,-17.24
lohiacorp,59,15.0,59.67,-44.67
lohiacorp,60,0.0,49.09,-49.09
lohiacorp,61,50.0,19.85,30.15
lohiacorp,62,0.0,15.81,-15.81
