company_id,category,count,company_pct,all_company_avg_pct,difference
paytm,Financial,20,24.69,35.78,-11.09
paytm,Legal,20,24.69,20.69,4.0
paytm,Regulatory,27,33.33,28.02,5.31
paytm,Operational,10,12.35,12.5,-0.15
paytm,Market,3,3.7,2.16,1.54
paytm,Reputational,1,1.23,0.86,0.37
lohiacorp,Financial,37,42.53,35.78,6.75
lohiacorp,Legal,15,17.24,20.69,-3.45
lohiacorp,Regulatory,24,27.59,28.02,-0.43
lohiacorp,Operational,9,10.34,12.5,-2.16
lohiacorp,Market,1,1.15,2.16,-1.01
lohiacorp,Reputational,1,1.15,0.86,0.29
zomato,Financial,26,40.62,35.78,4.84
zomato,Legal,13,20.31,20.69,-0.38
zomato,Regulatory,14,21.88,28.02,-6.14
zomato,Operational,10,15.62,12.5,3.12
zomato,Market,1,1.56,2.16,-0.6
zomato,Reputational,0,0.0,0.86,-0.86
