company_id,figure_type,risk_factors_value,risk_factors_page,financial_statements_value,financial_statements_page,match,difference_pct,status_note
lohiacorp,Total Revenue,No specific numeric claim found in Risk Factors,N/A (Risk Factors Section),"₹17,169.95 million (₹1,717.00 crore)",Page 77 (Summary of Restated Statement of Profit and Loss),YES (N/A),0.0,No contradiction; figure disclosed in FS table but not explicitly cited numerically in Risk Factors
lohiacorp,Profit After Tax / Net Loss,₹-0.09M (Risk #8),Risk Factors (Risk #8),"₹1,934.52 million (₹193.45 crore)",Page 77 (Summary of Restated Statement of Profit and Loss),NO (MISMATCH),100.0,Numeric mismatch between Risk Factor claim and FS primary table
lohiacorp,Total Debt / Borrowings,₹413.00M (Risk #9),Risk Factors (Risk #9),₹413.00 million (Corporate Guarantees / Credit Facility),Page 323 (Notes to Restated Financial Information - Note 36),YES,0.0,Matched within 1% rounding tolerance
lohiacorp,Total Debt / Borrowings,₹1391.09M (Risk #18),Risk Factors (Risk #18),₹413.00 million (Corporate Guarantees / Credit Facility),Page 323 (Notes to Restated Financial Information - Note 36),NO (MISMATCH),236.83,Numeric mismatch between Risk Factor claim and FS primary table
paytm,Total Revenue,No specific numeric claim found in Risk Factors,N/A (Risk Factors Section),"₹28,024.00 million (₹2,802.40 crore)",Page 271 (Annexure II - Restated Consolidated Statement of Profit and Loss),YES (N/A),0.0,No contradiction; figure disclosed in FS table but not explicitly cited numerically in Risk Factors
paytm,Profit After Tax / Net Loss,No specific numeric claim found in Risk Factors,N/A (Risk Factors Section),"-₹17,010.00 million (Loss ₹1,701.00 crore)",Page 271 (Annexure II - Restated Consolidated Statement of Profit and Loss),YES (N/A),0.0,No contradiction; figure disclosed in FS table but not explicitly cited numerically in Risk Factors
paytm,Total Debt / Borrowings,₹5449.00M (Risk #42),Risk Factors (Risk #42),₹0.00 million (Zero Long-term Borrowings),Page 272 (Annexure I - Restated Consolidated Statement of Assets and Liabilities),NO (MISMATCH),100.0,Numeric mismatch between Risk Factor claim and FS primary table
zomato,Total Revenue,No specific numeric claim found in Risk Factors,N/A (Risk Factors Section),"₹26,047.37 million (₹2,604.74 crore)",Page 73 (Restated Consolidated Statement of Profits and Loss),YES (N/A),0.0,No contradiction; figure disclosed in FS table but not explicitly cited numerically in Risk Factors
zomato,Profit After Tax / Net Loss,No specific numeric claim found in Risk Factors,N/A (Risk Factors Section),"-₹23,856.01 million (Loss ₹2,385.60 crore)",Page 73 (Restated Consolidated Statement of Profits and Loss),YES (N/A),0.0,No contradiction; figure disclosed in FS table but not explicitly cited numerically in Risk Factors
zomato,Total Debt / Borrowings,No specific numeric claim found in Risk Factors,N/A (Risk Factors Section),₹0.00 million (Zero Long-term Borrowings),Page 72 (Restated Consolidated Statement of Assets and Liabilities),YES (N/A),0.0,No contradiction; figure disclosed in FS table but not explicitly cited numerically in Risk Factors
